,id,sensor_serial_number,name,description,created_at,updated_at,spaces,tags,multipoint
0,drw_966437619804144274,B2FAG008,Brooklyn: Testing Unit,,2021-08-24T20:38:04.116Z,2021-08-24T20:38:11.119Z,[],[],False
1,drw_1004860652222677353,A1EFY014,Park Ave: F12.1- 1/2,,2021-12-08T21:17:28.924Z,2021-12-08T21:17:35.939Z,"[{'id': 'spc_964669254068601838', 'name': '12th Floor', 'link_id': 'lnk_1004866596549690179', 'sensor_placement': 1}]",[],True
2,drw_1004860944326590841,A1EFU045,Park Ave: F12.1- 2/2,,2021-12-08T21:18:38.566Z,2021-12-08T21:18:43.161Z,"[{'id': 'spc_964669254068601838', 'name': '12th Floor', 'link_id': 'lnk_1004866596545495873', 'sensor_placement': 1}]",[],True
3,drw_1004861211927380362,A1EFT030,Park Ave: F12.2,,2021-12-08T21:19:42.384Z,2021-12-08T21:19:49.918Z,"[{'id': 'spc_964669254068601838', 'name': '12th Floor', 'link_id': 'lnk_1004866596541301570', 'sensor_placement': 1}]",[],False
4,drw_1004861460427309477,A1EFU002,Park Ave: F12.3,,2021-12-08T21:20:41.618Z,2021-12-08T21:20:48.806Z,"[{'id': 'spc_964669254068601838', 'name': '12th Floor', 'link_id': 'lnk_1004866596537107264', 'sensor_placement': 1}]",[],False
5,drw_1007746200721424939,A1EFY019,Park Ave: F6.10- SE Men’s Restroom,,2021-12-16T20:23:37.309Z,2021-12-16T20:23:41.484Z,"[{'id': 'spc_1007813665115603175', 'name': 'Floor 6, SE Men’s Restroom', 'link_id': 'lnk_1007813666046738664', 'sensor_placement': -1}]",[],False
6,drw_1007743308513935431,A1EFT027,Park Ave: F6.1-NW Women’s Restroom,,2021-12-16T20:12:07.792Z,2021-12-16T20:12:13.690Z,"[{'id': 'spc_1007812342638969039', 'name': 'Floor 6, NW Women’s Restroom', 'link_id': 'lnk_1007812343754653904', 'sensor_placement': -1}]",[],False
7,drw_1007743567830974549,A1EFY011,Park Ave: F6.4-NE Men’s Restroom,,2021-12-16T20:13:09.564Z,2021-12-16T20:13:16.032Z,"[{'id': 'spc_1007812533655961811', 'name': 'Floor 6, NE Men’s Restroom', 'link_id': 'lnk_1007812534540959956', 'sensor_placement': -1}]",[],False
8,drw_1007743900783214696,A1EFY021,Park Ave: F6.5,,2021-12-16T20:14:28.945Z,2021-12-16T20:14:32.101Z,"[{'id': 'spc_964669056093258730', 'name': '6th Floor', 'link_id': 'lnk_1007813184775520475', 'sensor_placement': 1}]",[],True
9,drw_1007744136029143315,A1EFZ011,Park Ave: F6.6,,2021-12-16T20:15:25.045Z,2021-12-16T20:15:43.425Z,"[{'id': 'spc_964669056093258730', 'name': '6th Floor', 'link_id': 'lnk_1007813185371111644', 'sensor_placement': 1}]",[],True
10,drw_1007744647130251681,A1EFY012,Park Ave: F6.7,,2021-12-16T20:17:26.905Z,2021-12-16T20:17:32.160Z,"[{'id': 'spc_964669056093258730', 'name': '6th Floor', 'link_id': 'lnk_1007813185605992672', 'sensor_placement': 1}]",[],False
11,drw_1007744964127359412,A1EFZ001,Park Ave: F6.7.1,,2021-12-16T20:18:42.475Z,2021-12-16T20:18:47.961Z,"[{'id': 'spc_964669056093258730', 'name': '6th Floor', 'link_id': 'lnk_1007813185597604063', 'sensor_placement': 1}]",[],False
