,serial_number,uuid,organization_id,doorway_id,doorway_name,sensor_type,kind,hardware_model,is_virtual,status,last_heartbeat,current_disposition,network_addresses,firmware_version,created_at,updated_at,latest_config_change.id,latest_config_change.current_state,latest_config_change.config_version,latest_config_change.set_config_command_id,latest_config_change.completed_at,latest_config_change.created_at,latest_config_change.updated_at
0,A1EFH006,,org_940597231667381009,drw_966112820989001855,Travis: Entry 20.9: Men’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:40:29.756Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:6f:54:74', 'family': 'ipv4', 'address': '192.168.0.216'}, {'if': 'eth0', 'mac': '88:3f:4a:6f:54:74', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe6f:5474%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.479Z,2022-01-26T17:40:29.764Z,scg_965048350158094988,COMPLETE,1,cmd_965048350158094989,2021-09-16T22:32:45.618382,2021-08-21T00:37:37.483000,2021-09-16T22:32:45.622000
1,A1EFH007,,org_940597231667381009,drw_966090413221872281,Travis: Entry 14.3: Elevator Lobby,s5,entry,s5b,False,online,2022-01-26T17:41:11.743Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:83:c8:82', 'family': 'ipv4', 'address': '192.168.0.199'}, {'if': 'eth0', 'mac': '88:3f:4a:83:c8:82', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe83:c882%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.932Z,2022-01-26T17:41:11.746Z,scg_991383799109518155,COMPLETE,3,cmd_991383799109518156,2021-11-01T16:46:21.957732,2021-11-01T16:45:16.747000,2021-11-01T16:46:21.959000
2,A1EFJ025,,org_940597231667381009,drw_964273105881006444,Travis: Entry 9.7: Freight Elevator,s5,entry,s5b,False,online,2022-01-26T17:40:59.204Z,Unavailable,"[{'if': 'eth0', 'mac': 'f0:b5:d1:08:d6:5c', 'family': 'ipv4', 'address': '192.168.0.20'}, {'if': 'eth0', 'mac': 'f0:b5:d1:08:d6:5c', 'family': 'ipv6', 'address': 'fe80::f2b5:d1ff:fe08:d65c%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.458Z,2022-01-26T17:40:59.207Z,scg_979821964128420773,COMPLETE,2,cmd_979821964128420774,2021-09-30T19:03:51.345030,2021-09-30T19:02:40.472000,2021-09-30T19:03:51.344000
3,A1EFJ026,,org_940597231667381009,drw_966083422822858866,Travis: Entry 12.3: Elevator Lobby,s5,entry,s5b,False,online,2022-01-26T17:40:49.623Z,Unavailable,"[{'if': 'eth0', 'mac': 'f0:b5:d1:0e:a9:d4', 'family': 'ipv4', 'address': '192.168.0.182'}, {'if': 'eth0', 'mac': 'f0:b5:d1:0e:a9:d4', 'family': 'ipv6', 'address': 'fe80::f2b5:d1ff:fe0e:a9d4%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.728Z,2022-01-26T17:40:49.634Z,scg_965048350158094790,COMPLETE,1,cmd_965048350158094791,2021-09-29T14:55:54.428918,2021-08-21T00:37:36.732000,2021-09-29T14:55:54.426000
4,A1EFJ028,,org_940597231667381009,drw_966088619913642562,Travis: Entry 13.10: Pod,s5,entry,s5b,False,online,2022-01-26T17:40:31.558Z,Unavailable,"[{'if': 'eth0', 'mac': 'f0:b5:d1:0b:ef:f4', 'family': 'ipv4', 'address': '192.168.0.35'}, {'if': 'eth0', 'mac': 'f0:b5:d1:0b:ef:f4', 'family': 'ipv6', 'address': 'fe80::f2b5:d1ff:fe0b:eff4%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.859Z,2022-01-26T17:40:31.568Z,scg_965048350158094826,COMPLETE,1,cmd_965048350158094827,2021-10-01T21:37:12.103301,2021-08-21T00:37:36.863000,2021-10-01T21:37:12.101000
5,A1EFJ030,,org_940597231667381009,drw_966089308496724600,Travis: Entry 13.12: Stairwell from floor 13 to floor 14,s5,entry,s5b,False,online,2022-01-26T17:40:33.892Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:6e:4e:c4', 'family': 'ipv4', 'address': '192.168.0.188'}, {'if': 'eth0', 'mac': '88:3f:4a:6e:4e:c4', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe6e:4ec4%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.880Z,2022-01-26T17:40:33.899Z,scg_979418034953257020,COMPLETE,2,cmd_979418034953257021,2021-09-29T16:18:05.898744,2021-09-29T16:17:36.255000,2021-09-29T16:18:05.898000
6,A1EFJ035,,org_940597231667381009,drw_966089713335140995,Travis: Entry 14.1: Women’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:40:37.215Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:6e:4e:d8', 'family': 'ipv4', 'address': '192.168.0.208'}, {'if': 'eth0', 'mac': '88:3f:4a:6e:4e:d8', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe6e:4ed8%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.906Z,2022-01-26T17:40:37.221Z,scg_965048350158094835,COMPLETE,1,cmd_965048350158094836,2021-09-30T15:23:13.422967,2021-08-21T00:37:36.911000,2021-09-30T15:23:13.421000
7,A1EFJ037,,org_940597231667381009,drw_966087552777847184,Travis: Entry 13.5: Elevator Lobby,s5,entry,s5b,False,online,2022-01-26T17:40:34.604Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ad:3c:74', 'family': 'ipv4', 'address': '192.168.0.159'}, {'if': 'eth0', 'mac': '88:3f:4a:ad:3c:74', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fead:3c74%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.827Z,2022-01-26T17:40:34.611Z,scg_965048350158094817,COMPLETE,1,cmd_965048350158094818,2021-09-29T14:52:14.699109,2021-08-21T00:37:36.832000,2021-09-29T14:52:14.698000
8,A1EFJ042,,org_940597231667381009,drw_966105485604291200,Travis: Entry 18.1: Women’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:41:15.799Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ae:07:ec', 'family': 'ipv4', 'address': '192.168.0.4'}, {'if': 'eth0', 'mac': '88:3f:4a:ae:07:ec', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feae:7ec%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.258Z,2022-01-26T17:41:15.810Z,scg_965048350158094925,COMPLETE,1,cmd_965048350158094926,2021-09-28T16:58:10.110593,2021-08-21T00:37:37.263000,2021-09-28T16:58:10.110000
9,A1EFK001,,org_940597231667381009,drw_966108377782420313,Travis: Entry 19.1: Women’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:41:10.077Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ad:ee:38', 'family': 'ipv4', 'address': '192.168.0.115'}, {'if': 'eth0', 'mac': '88:3f:4a:ad:ee:38', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fead:ee38%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.356Z,2022-01-26T17:41:10.084Z,scg_965048350158094952,COMPLETE,1,cmd_965048350158094953,2021-09-28T14:58:06.567483,2021-08-21T00:37:37.359000,2021-09-28T14:58:06.565000
10,A1EFK002,,org_940597231667381009,drw_966088308855669181,Travis: Entry 13.9: Men’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:41:07.214Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ad:ee:28', 'family': 'ipv4', 'address': '192.168.0.99'}, {'if': 'eth0', 'mac': '88:3f:4a:ad:ee:28', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fead:ee28%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.848Z,2022-01-26T17:41:07.224Z,scg_965048350158094823,COMPLETE,1,cmd_965048350158094824,2021-09-29T14:50:49.712205,2021-08-21T00:37:36.852000,2021-09-29T14:50:49.713000
11,A1EFK012,,org_940597231667381009,drw_966083077933629544,Travis: Entry 12.2: Unisex Restroom,s5,entry,s5b,False,online,2022-01-26T17:41:20.271Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ac:cd:48', 'family': 'ipv4', 'address': '192.168.0.236'}, {'if': 'eth0', 'mac': '88:3f:4a:ac:cd:48', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feac:cd48%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.718Z,2022-01-26T17:41:20.284Z,scg_965048350158094787,COMPLETE,1,cmd_965048350158094788,2021-09-29T14:55:25.193762,2021-08-21T00:37:36.722000,2021-09-29T14:55:25.209000
12,A1EFK015,,org_940597231667381009,drw_966085551910289730,Travis: Entry 12.11: Pod 2,s5,entry,s5b,False,online,2022-01-26T17:40:40.654Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:83:ab:04', 'family': 'ipv4', 'address': '192.168.0.62'}, {'if': 'eth0', 'mac': '88:3f:4a:83:ab:04', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe83:ab04%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.781Z,2022-01-26T17:40:40.661Z,scg_991831275746623666,COMPLETE,4,cmd_991831275746623667,2021-11-02T22:24:54.567529,2021-11-02T22:23:23.489000,2021-11-02T22:24:54.568000
13,A1EFK019,,org_940597231667381009,drw_966082687104188504,Travis: Entry 12.1: Women’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:40:35.761Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ac:cd:00', 'family': 'ipv4', 'address': '192.168.0.164'}, {'if': 'eth0', 'mac': '88:3f:4a:ac:cd:00', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feac:cd00%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.708Z,2022-01-26T17:40:35.769Z,scg_981280943618654933,COMPLETE,2,cmd_981280943618654934,2021-10-04T19:41:15.489353,2021-10-04T19:40:08.291000,2021-10-04T19:41:15.488000
14,A1EFK024,,org_940597231667381009,drw_966087979774771635,Travis: Entry 13.7: Freight Elevator,s5,entry,s5b,False,online,2022-01-26T17:41:14.877Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ac:96:f0', 'family': 'ipv4', 'address': '192.168.0.220'}, {'if': 'eth0', 'mac': '88:3f:4a:ac:96:f0', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feac:96f0%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.838Z,2022-01-26T17:41:14.883Z,scg_982400206710505533,COMPLETE,5,cmd_982400206710505534,2021-10-07T21:49:32.933149,2021-10-07T21:47:41.400000,2021-10-07T21:49:32.934000
