,serial_number,uuid,organization_id,doorway_id,doorway_name,sensor_type,kind,hardware_model,is_virtual,status,last_heartbeat,current_disposition,network_addresses,firmware_version,created_at,updated_at,latest_config_change.id,latest_config_change.current_state,latest_config_change.config_version,latest_config_change.set_config_command_id,latest_config_change.completed_at,latest_config_change.created_at,latest_config_change.updated_at
15,A1EFK025,,org_940597231667381009,drw_966088916031504981,Travis: Entry 13.11: Pod,s5,entry,s5b,False,online,2022-01-26T17:41:12.507Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ac:cd:60', 'family': 'ipv4', 'address': '192.168.0.11'}, {'if': 'eth0', 'mac': '88:3f:4a:ac:cd:60', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feac:cd60%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.869Z,2022-01-26T17:41:12.514Z,scg_965048350158094829,COMPLETE,1,cmd_965048350158094830,2021-09-29T14:50:45.479914,2021-08-21T00:37:36.873000,2021-09-29T14:50:45.494000
16,A1EFK027,,org_940597231667381009,drw_966083917129973886,Travis: Entry 12.5: Elevator Lobby,s5,entry,s5b,False,online,2022-01-26T17:40:55.295Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:77:00:3a', 'family': 'ipv4', 'address': '192.168.0.183'}, {'if': 'eth0', 'mac': '88:3f:4a:77:00:3a', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe77:3a%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.739Z,2022-01-26T17:40:55.302Z,scg_982396542893687709,COMPLETE,2,cmd_982396542893687710,2021-10-07T21:34:55.121675,2021-10-07T21:33:07.888000,2021-10-07T21:34:55.110000
17,A1EFK029,,org_940597231667381009,drw_966084576227098890,Travis: Entry 12.7 Freight Elevator,s5,entry,s5b,False,online,2022-01-26T17:41:13.755Z,Unavailable,"[{'if': 'eth0', 'mac': 'f0:b5:d1:0a:3b:be', 'family': 'ipv4', 'address': '192.168.0.56'}, {'if': 'eth0', 'mac': 'f0:b5:d1:0a:3b:be', 'family': 'ipv6', 'address': 'fe80::f2b5:d1ff:fe0a:3bbe%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.749Z,2022-01-26T17:41:13.764Z,scg_982401328661659722,COMPLETE,2,cmd_982401328661659723,2021-10-07T21:53:59.059233,2021-10-07T21:52:08.898000,2021-10-07T21:53:59.057000
18,A1EFK030,,org_940597231667381009,drw_966086415429402970,Travis: Entry 13.2: Single User,s5,entry,s5b,False,online,2022-01-26T17:41:13.983Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ac:52:e2', 'family': 'ipv4', 'address': '192.168.0.60'}, {'if': 'eth0', 'mac': '88:3f:4a:ac:52:e2', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feac:52e2%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.806Z,2022-01-26T17:41:13.989Z,scg_965048350158094811,COMPLETE,1,cmd_965048350158094812,2021-09-29T14:50:45.810550,2021-08-21T00:37:36.811000,2021-09-29T14:50:45.810000
19,A1EFM001,,org_940597231667381009,drw_966086049447018831,Travis: Entry 13.1: Women’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:40:45.146Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:6e:4e:bc', 'family': 'ipv4', 'address': '192.168.0.180'}, {'if': 'eth0', 'mac': '88:3f:4a:6e:4e:bc', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe6e:4ebc%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.794Z,2022-01-26T17:40:45.153Z,scg_965048350158094808,COMPLETE,1,cmd_965048350158094809,2021-09-29T14:49:41.841518,2021-08-21T00:37:36.799000,2021-09-29T14:49:41.843000
20,A1EFM002,,org_940597231667381009,drw_966085228487508275,Travis: Entry 12.10: Pod 1,s5,entry,s5b,False,online,2022-01-26T17:40:50.798Z,Unavailable,"[{'if': 'eth0', 'mac': 'f0:b5:d1:0d:85:94', 'family': 'ipv4', 'address': '192.168.0.136'}, {'if': 'eth0', 'mac': 'f0:b5:d1:0d:85:94', 'family': 'ipv6', 'address': 'fe80::f2b5:d1ff:fe0d:8594%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.770Z,2022-01-26T17:40:50.806Z,scg_965048350158094802,COMPLETE,1,cmd_965048350158094803,2021-09-29T14:54:26.255809,2021-08-21T00:37:36.774000,2021-09-29T14:54:26.255000
21,A1EFM005,,org_940597231667381009,drw_966084916221575461,Travis: Entry 12.9: Men’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:41:22.863Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ac:cd:06', 'family': 'ipv4', 'address': '192.168.0.170'}, {'if': 'eth0', 'mac': '88:3f:4a:ac:cd:06', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feac:cd06%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.760Z,2022-01-26T17:41:22.870Z,scg_981299360992068330,COMPLETE,2,cmd_981299360992068331,2021-10-04T20:55:06.720147,2021-10-04T20:53:19.336000,2021-10-04T20:55:06.721000
22,A1EFM010,,org_940597231667381009,drw_966090084220666510,Travis: Entry 14.2: Single User,s5,entry,s5b,False,online,2022-01-26T17:41:19.724Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ad:4c:8c', 'family': 'ipv4', 'address': '192.168.0.232'}, {'if': 'eth0', 'mac': '88:3f:4a:ad:4c:8c', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fead:4c8c%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.919Z,2022-01-26T17:41:19.733Z,scg_981294455388635642,COMPLETE,2,cmd_981294455388635643,2021-10-04T20:35:12.135619,2021-10-04T20:33:49.746000,2021-10-04T20:35:12.137000
23,A1EFM011,,org_940597231667381009,drw_966087176146125188,Travis: Entry 13.3: Elevator Lobby,s5,entry,s5b,False,online,2022-01-26T17:41:06.174Z,Unavailable,"[{'if': 'eth0', 'mac': 'f0:b5:d1:0a:21:70', 'family': 'ipv4', 'address': '192.168.0.54'}, {'if': 'eth0', 'mac': 'f0:b5:d1:0a:21:70', 'family': 'ipv6', 'address': 'fe80::f2b5:d1ff:fe0a:2170%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.817Z,2022-01-26T17:41:06.181Z,scg_965048350158094814,COMPLETE,1,cmd_965048350158094815,2021-09-29T14:51:12.412939,2021-08-21T00:37:36.821000,2021-09-29T14:51:12.412000
24,A1EFM015,,org_940597231667381009,drw_964574296296915635,Travis: Entry 10.1: Women’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:41:21.463Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:83:c8:ae', 'family': 'ipv4', 'address': '192.168.0.244'}, {'if': 'eth0', 'mac': '88:3f:4a:83:c8:ae', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe83:c8ae%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.506Z,2022-01-26T17:41:21.474Z,scg_988947849502785806,COMPLETE,3,cmd_988947849502785807,2021-10-25T23:27:04.823985,2021-10-25T23:25:41.096000,2021-10-25T23:27:04.829000
25,A1EFM031,,org_940597231667381009,drw_964273422982971762,Travis: Entry 9.9: Men’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:40:50.676Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ae:07:8e', 'family': 'ipv4', 'address': '192.168.0.159'}, {'if': 'eth0', 'mac': '88:3f:4a:ae:07:8e', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feae:78e%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.471Z,2022-01-26T17:40:50.702Z,scg_965048350158094724,COMPLETE,1,cmd_965048350158094725,2021-09-29T15:17:53.084455,2021-08-21T00:37:36.477000,2021-09-29T15:17:53.086000
26,A1EFM033,,org_940597231667381009,drw_966082002895765576,Travis: Entry 11.11: Pod 2,s5,entry,s5b,False,online,2022-01-26T17:40:30.295Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ad:d2:c2', 'family': 'ipv4', 'address': '192.168.0.105'}, {'if': 'eth0', 'mac': '88:3f:4a:ad:d2:c2', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fead:d2c2%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.676Z,2022-01-26T17:40:30.307Z,scg_979464331949245338,COMPLETE,3,cmd_979464331949245339,2021-09-29T19:22:54.449245,2021-09-29T19:21:34.320000,2021-09-29T19:22:54.446000
27,A1EFM034,,org_940597231667381009,drw_964275672300126667,Travis: Entry 11.12: Stairwell from floor 11 to floor 12,s5,entry,s5b,False,online,2022-01-26T17:41:12.360Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ad:ee:62', 'family': 'ipv4', 'address': '192.168.0.158'}, {'if': 'eth0', 'mac': '88:3f:4a:ad:ee:62', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fead:ee62%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.692Z,2022-01-26T17:41:12.367Z,scg_965048350158094781,COMPLETE,1,cmd_965048350158094782,2021-09-29T15:40:46.432619,2021-08-21T00:37:36.701000,2021-09-29T15:40:46.430000
28,A1EFM035,,org_940597231667381009,drw_966110866556584872,Travis: Entry 20.1: Women’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:40:35.882Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ac:96:dc', 'family': 'ipv4', 'address': '192.168.0.201'}, {'if': 'eth0', 'mac': '88:3f:4a:ac:96:dc', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feac:96dc%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.427Z,2022-01-26T17:40:35.890Z,scg_965048350158094973,COMPLETE,1,cmd_965048350158094974,2021-09-16T22:31:00.684707,2021-08-21T00:37:37.431000,2021-09-16T22:31:00.685000
29,A1EFM044,,org_940597231667381009,drw_966107587944645443,Travis: Entry 18.11: Pod 2,s5,entry,s5b,False,online,2022-01-26T17:41:23.362Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:6a:31:4c', 'family': 'ipv4', 'address': '192.168.0.72'}, {'if': 'eth0', 'mac': '88:3f:4a:6a:31:4c', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe6a:314c%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.332Z,2022-01-26T17:41:23.366Z,scg_965048350158094946,COMPLETE,1,cmd_965048350158094947,2021-09-30T05:32:57.759574,2021-08-21T00:37:37.337000,2021-09-30T05:32:57.764000
30,A1EFN001,,org_940597231667381009,drw_966109455517221754,Travis: Entry 19.5: Near Corridor 1962,s5,entry,s5b,False,online,2022-01-26T17:41:14.619Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:6a:12:72', 'family': 'ipv4', 'address': '192.168.0.125'}, {'if': 'eth0', 'mac': '88:3f:4a:6a:12:72', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe6a:1272%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.386Z,2022-01-26T17:41:14.631Z,scg_965048350158094961,COMPLETE,1,cmd_965048350158094962,2021-09-28T14:58:40.145726,2021-08-21T00:37:37.390000,2021-09-28T14:58:40.128000
31,A1EFN002,,org_940597231667381009,drw_964273218510651760,Travis: Entry 9.5: Elevator Lobby 900,s5,entry,s5b,False,online,2022-01-26T17:41:06.180Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ac:b2:42', 'family': 'ipv4', 'address': '192.168.0.194'}, {'if': 'eth0', 'mac': '88:3f:4a:ac:b2:42', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feac:b242%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:36.448Z,2022-01-26T17:41:06.205Z,scg_981303817389736941,COMPLETE,2,cmd_981303817389736942,2021-10-04T21:12:43.235642,2021-10-04T21:11:01.858000,2021-10-04T21:12:43.238000
32,A1EFN008,,org_940597231667381009,drw_966140409090670947,Travis:Entry 18.3: Elevator Lobby,s5,entry,s5b,False,online,2022-01-26T17:41:17.954Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ae:22:04', 'family': 'ipv4', 'address': '192.168.0.57'}, {'if': 'eth0', 'mac': '88:3f:4a:ae:22:04', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:feae:2204%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.280Z,2022-01-26T17:41:17.961Z,scg_979503476423786625,COMPLETE,5,cmd_979503476423786626,2021-09-29T21:58:52.466822,2021-09-29T21:57:07.088000,2021-09-29T21:58:52.468000
33,A1EFN010,,org_940597231667381009,drw_966110146893710226,Travis: Entry 19.9: Men’s Restroom,s5,entry,s5b,False,online,2022-01-26T17:41:12.399Z,Unavailable,"[{'if': 'eth0', 'mac': 'f0:b5:d1:0d:d2:60', 'family': 'ipv4', 'address': '192.168.0.242'}, {'if': 'eth0', 'mac': 'f0:b5:d1:0d:d2:60', 'family': 'ipv6', 'address': 'fe80::f2b5:d1ff:fe0d:d260%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.406Z,2022-01-26T17:41:12.414Z,scg_965048350158094967,COMPLETE,1,cmd_965048350158094968,2021-09-28T14:57:21.783496,2021-08-21T00:37:37.410000,2021-09-28T14:57:21.777000
34,A1EFN013,,org_940597231667381009,drw_966109101106922351,Travis: Entry 19.3: Elevator Lobby,s5,entry,s5b,False,online,2022-01-26T17:41:18.375Z,Unavailable,"[{'if': 'eth0', 'mac': 'f0:b5:d1:0c:4a:d8', 'family': 'ipv4', 'address': '192.168.0.136'}, {'if': 'eth0', 'mac': 'f0:b5:d1:0c:4a:d8', 'family': 'ipv6', 'address': 'fe80::f2b5:d1ff:fe0c:4ad8%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.376Z,2022-01-26T17:41:18.381Z,scg_965048350158094958,COMPLETE,1,cmd_965048350158094959,2021-09-28T14:58:19.311188,2021-08-21T00:37:37.380000,2021-09-28T14:58:19.294000
35,A1EFN014,,org_940597231667381009,drw_966109767380501384,Travis: Entry 19.7: Freight Elevator,s5,entry,s5b,False,online,2022-01-26T17:40:58.333Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:ad:3c:3e', 'family': 'ipv4', 'address': '192.168.0.105'}, {'if': 'eth0', 'mac': '88:3f:4a:ad:3c:3e', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fead:3c3e%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.396Z,2022-01-26T17:40:58.350Z,scg_965048350158094964,COMPLETE,1,cmd_965048350158094965,2021-09-28T14:56:31.402356,2021-08-21T00:37:37.400000,2021-09-28T14:56:31.400000
36,A1EFN015,,org_940597231667381009,drw_966111661805011035,Travis: Entry 20.3: Corridor 2009,s5,entry,s5b,False,online,2022-01-26T17:40:26.210Z,Unavailable,"[{'if': 'eth0', 'mac': '88:3f:4a:6e:2c:96', 'family': 'ipv4', 'address': '192.168.0.69'}, {'if': 'eth0', 'mac': '88:3f:4a:6e:2c:96', 'family': 'ipv6', 'address': 'fe80::8a3f:4aff:fe6e:2c96%eth0'}]",10094-503b9bb-stable-jamestown-s5_1g-release,2021-08-21T00:37:37.448Z,2022-01-26T17:40:26.277Z,scg_965048350158094979,COMPLETE,1,cmd_965048350158094980,2021-09-16T22:31:46.871416,2021-08-21T00:37:37.452000,2021-09-16T22:31:46.873000
